File,Revisions,SumOfREF,SumOfAdded Lines,MaxOfAdded Lines,AvgOfAdded Lines,SumOfDeleted Lines,MaxOfDeleted Lines,AvgOfDeleted Lines,MaxOfCodeChurn,AvgChangeset,Age
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/wizard/CreateConnectionFactoryHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/wizard/CreateDestinationHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/wizard/DeployHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/wizard/JMSProviderData.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/wizard/JMSResourcePortlet.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/wizard/ListScreenHandler.java,2,0,12,,6,12,,6,12,12,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/wizard/ReviewHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/wizard/SelectConnectionFactoryTypeHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/wizard/SelectDestinationTypeHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/wizard/SelectProviderHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/wizard/ShowPlanHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmxmanager/JMXManagerHelper.java,6,0,26,,4,12,,2,11,6,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmxmanager/JMXManagerPortlet.java,13,0,38,,3,21,,2,11,5,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jndiview/JNDIViewPortlet.java,5,0,1300,,260,440,,88,860,348,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jsr77/DynamicServerInfo.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jsr77/Jsr77Lookup.java,2,0,0,,0,0,,0,0,0,9
