File,Revisions,Refactorings,BugFixes,SumOfAdded Lines,MaxOfAdded Lines,AvgOfAdded Lines,SumOfDeleted Lines,MaxOfDeleted Lines,AvgOfDeleted Lines,MaxOfCodeChurn,AvgOfCodeChurn,MaxOfCount,AvgChangeset,Age
configs/client/pom.xml,8,0,0,198,,25,36,,4,72,29.25,60,10.12,10
configs/client-corba/pom.xml,2,0,0,0,,0,0,,0,0,0,8,4.5,8
configs/client-deployer/pom.xml,2,0,0,0,,0,0,,0,0,0,8,4.5,8
configs/client-deployer/src/plan/plan.xml,4,2,0,40,,10,26,,6,33,16.5,98,25.75,10
configs/client-security/pom.xml,4,0,0,24,,6,14,,4,19,9.5,44,13.5,8
configs/client-system/pom.xml,6,0,0,30,,5,12,,2,17,7,44,9.67,9
configs/console-jetty/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/console-jetty/src/main/resources/META-INF,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/console-tomcat/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/console-tomcat/src/main/resources/META-INF,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/directory/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/geronimo-gbean-deployer/pom.xml,2,0,0,0,,0,0,,0,0,0,4,2.5,7
configs/hot-deployer/pom.xml,2,0,0,0,,0,0,,0,0,0,4,2.5,7
configs/j2ee-corba/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/j2ee-deployer/pom.xml,4,0,0,2,,0,0,,0,1,0.5,44,12.5,7
configs/j2ee-deployer/src/plan/plan.xml,4,2,0,76,,19,38,,10,57,28.5,98,25.25,10
configs/j2ee-security/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/j2ee-server/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/j2ee-system/pom.xml,4,0,0,0,,0,8,,2,4,2,60,26.5,10
configs/javamail/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/jetty/pom.xml,4,0,0,14,,4,0,,0,7,3.5,98,36,10
configs/jetty-clustering-builder-wadi/LICENSE.txt,4,0,0,6,,2,0,,0,3,1.5,98,28,10
configs/jetty-clustering-builder-wadi/NOTICE.txt,4,0,0,6,,2,0,,0,3,1.5,98,28,10
configs/jetty-clustering-builder-wadi/pom.xml,6,0,0,46,,8,12,,2,20,9.67,98,19.33,10
configs/jetty-clustering-builder-wadi/src/plan/plan.xml,6,0,0,62,,10,32,,5,31,15.67,98,18.5,10
configs/jetty-clustering-wadi/LICENSE.txt,4,0,0,6,,2,0,,0,3,1.5,98,28,10
configs/jetty-clustering-wadi/NOTICE.txt,4,0,0,6,,2,0,,0,3,1.5,98,28,10
configs/jetty-clustering-wadi/pom.xml,4,0,0,104,,26,0,,0,49,26,98,28,10
configs/jetty-clustering-wadi/src/plan/plan.xml,6,0,0,110,,18,32,,5,37,23.67,98,18.5,10
configs/jetty-deployer/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/jetty-deployer/src/plan/plan.xml,4,2,0,6,,2,0,,0,3,1.5,98,49.5,10
configs/jsp-examples-jetty/pom.xml,6,0,0,8,,1,16,,3,7,4,44,9.33,7
configs/jsp-examples-tomcat/pom.xml,6,0,0,8,,1,16,,3,7,4,44,9.33,7
configs/ldap-demo-jetty/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/ldap-demo-tomcat/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/ldap-realm/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/online-deployer/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/openejb/pom.xml,4,0,0,16,,4,6,,2,11,5.5,60,26.5,10
configs/openejb/src/plan/plan.xml,2,0,0,0,,0,0,,0,0,0,60,30.5,10
configs/openejb-deployer/pom.xml,4,0,0,56,,14,2,,0,29,14.5,44,13,7
configs/openejb-deployer/src/plan/plan.xml,2,2,0,0,,0,0,,0,0,0,98,49.5,10
configs/pom.xml,3,0,0,4,,1,2,,1,4,2,3,3,10
configs/rmi-naming/pom.xml,6,0,0,10,,2,2,,0,5,2,60,18.5,10
configs/servlet-examples-jetty/pom.xml,8,0,0,8,,1,56,,7,20,8,44,7.5,7
configs/servlet-examples-tomcat/pom.xml,8,0,0,8,,1,56,,7,20,8,44,7.5,7
configs/servlets-examples-jetty/pom.xml,2,0,0,0,,0,0,,0,0,0,60,30.5,7
configs/servlets-examples-tomcat/pom.xml,2,0,0,0,,0,0,,0,0,0,60,30.5,7
configs/sharedlib/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/shutdown/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/system-database/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/tomcat/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/tomcat-deployer/pom.xml,2,0,0,0,,0,0,,0,0,0,44,22.5,7
configs/tomcat-deployer/src/plan/plan.xml,2,2,0,0,,0,0,,0,0,0,98,49.5,10
